,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
3840,3840,1503685072701,-10,-10,-4,0,-6,2,-3,0
3841,3841,1503685072702,14,15,4,-9,-5,-6,-6,-1
3842,3842,1503685072708,16,5,1,-2,1,-3,2,7
3843,3843,1503685072723,-16,-7,7,1,-5,3,14,4
3844,3844,1503685072731,-14,-4,-1,-2,-7,-7,-11,-7
3845,3845,1503685072738,-3,-3,-2,10,18,6,-7,-7
3846,3846,1503685072755,-2,-3,-1,7,11,1,0,8
3847,3847,1503685072761,2,-1,-4,-10,-20,-7,-2,9
3848,3848,1503685072769,-22,-20,-7,-1,3,5,-3,-1
3849,3849,1503685072783,10,9,-4,-2,-2,3,8,-4
3850,3850,1503685072791,1,-9,-3,3,9,0,-5,-8
3851,3851,1503685072798,-9,6,3,4,4,-4,-19,-16
3852,3852,1503685072814,20,-1,2,-2,-6,-4,8,11
3853,3853,1503685072823,12,-21,-18,-6,-7,2,11,20
